nct_id,title,status,phase,start_date,completion_date,enrollment,sponsor_name,sponsor_type,outcome,disease_id,condition_mesh_id,condition_mesh_label,condition_snomed_id,condition_snomed_label,condition_icd10_code,condition_icd10_label,indication_disambiguation,indication_query
NCT04570306,Transcriptional and Immune Parameters of Response to Belimumab,COMPLETED,,2020-12-16,2023-12-16,85,"Biomedical Research Foundation, Academy of Athens",OTHER,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT05253638,Evaluation Of Serum MIF Level in SLE Patients,UNKNOWN,NA,2022-02-22,2022-12-28,60,Assiut University,OTHER,Unknown,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT07408908,"Safety, Tolerability, and Pharmacokinetic/Pharmacodynamic (PK/PD) Profile of ACT100 in Healthy Participants..",NOT_YET_RECRUITING,Phase 1,2026-03-06,2027-10-30,48,"Xiamen Amoytop Biotech Co., Ltd.",INDUSTRY,Ongoing,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT05082363,The Expression Profile of New Complement Components in Childhood Lupus Nephritis,UNKNOWN,,2021-11,2022-08,30,Assiut University,OTHER,Unknown,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",sle_organ,systemic lupus erythematosus
NCT04558814,Evaluation of Serum Galectin-9 Level in Systemic Lupus Erythematosus Patients and it's Association With Disease Activity and Organ Damage,UNKNOWN,NA,2021-01,2022-12,100,Assiut University,OTHER,Unknown,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT03724916,"A Study to Evaluate the Safety, Pharmacokinetics (PK), and Pharmacodynamics (PD) of TAK-079 in Combination With Standard Background Therapy in Participants With Moderate to Severe Systemic Lupus Erythematosus (SLE)",COMPLETED,Phase 1,2018-11-26,2021-11-04,23,"Millennium Pharmaceuticals, Inc.",INDUSTRY,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT07225387,Safety and Efficacy of Combination Belimumab and Voclosporin in the Treatment of Proliferative Forms of Lupus Glomerulopathy: Synergy Trial,RECRUITING,Phase 4,2024-10-01,2027-01,30,"NephroNet, Inc.",OTHER,Ongoing,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT04184258,Treatment of Systemic Lupus Erythematosus With Pooled Allogenic Mesenchymal Stem Cells,COMPLETED,Phase 1; Phase 2,2019-07-01,2020-12-31,7,Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus,OTHER_GOV,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT06058078,RY_SW01 Cell Injection Therapy in Active Lupus Nephritis,RECRUITING,Phase 2,2023-08-17,2028-12-31,60,Jiangsu Renocell Biotech Company,INDUSTRY,Ongoing,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",sle_organ,systemic lupus erythematosus
NCT03348774,Scrutinizing the Heterogeneity of SLE: Defining Phenotypes,UNKNOWN,,2017-02-09,2018-07-30,950,"University Health Network, Toronto",OTHER,Unknown,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT00046774,Monoclonal Antibody Treatment for Systemic Lupus Erythematosus,COMPLETED,Phase 1,2002-09-02,2017-09-07,23,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT01689025,An Investigation of Safety and Tolerability of NNC0114-0006 in Subjects With Systemic Lupus Erythematosus (SLE),TERMINATED,Phase 1,2012-09,2014-02,10,Novo Nordisk A/S,INDUSTRY,Failure,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT06316791,Exploratory Clinical Study of CNCT19 Anti CD19 Cell Therapy in the Treatment of Refractory Autoimmune Diseases,RECRUITING,EARLY_PHASE1,2021-12-14,2025-12-13,24,Juventas Cell Therapy Ltd.,INDUSTRY,Ongoing,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT03804723,Glucocorticoids Withdrawal in Early Systemic Lupus Erythematosus,UNKNOWN,NA,2019-06,2023-09,321,University of Pisa,OTHER,Unknown,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT05268289,"Study of Efficacy and Safety of LNP023 in Participants With Active Lupus Nephritis Class III-IV, +/- V",RECRUITING,Phase 2,2022-08-10,2028-09-28,240,Novartis Pharmaceuticals,INDUSTRY,Ongoing,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",sle_organ,systemic lupus erythematosus
NCT03374618,Neutrophil Extracellular Traps in Systemic Sclerosis,COMPLETED,NA,2018-02-23,2021-04-29,81,CHU de Reims,OTHER,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT01170585,A Trial of Rosuvastatin in Systemic Lupus Erythematosus,COMPLETED,Phase 2,2010-07,2014-06,33,Imperial College London,OTHER,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT02319525,Individualized Patient Decision Making for Treatment Choices Among Minorities With Lupus,COMPLETED,NA,2014-01,2016-12,301,University of Alabama at Birmingham,OTHER,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT01534403,Open Label Extension Study of Epratuzumab in Japanese Systemic Lupus Erythematosus (SLE) Subjects,COMPLETED,Phase 2,2012-01,2015-02,17,UCB Pharma,INDUSTRY,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT00280137,Health-related Quality of Life Measure in Pediatric Lupus,COMPLETED,,2004-06,2013-12,31,"Rutgers, The State University of New Jersey",OTHER,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT00054938,Prevention of Atherosclerosis and Heart Disease in Patients With Systemic Lupus Erythematosis (SLE),COMPLETED,Phase 2,2003-03,2005-12,150,Brigham and Women's Hospital,OTHER,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT05105217,Evaluation of Slit2 in Systemic Lupus Erythematosus and Systemic Sclerosis Patients,UNKNOWN,,2021-12-01,2023-02-01,85,Assiut University,OTHER,Unknown,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT05203692,A Study of a Single Ascending Dose Study of DS-7011a in Healthy Subjects,COMPLETED,Phase 1,2022-02-02,2023-03-22,80,Daiichi Sankyo,INDUSTRY,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT03684564,RIvaroxaban for Stroke Patients With AntiPhospholipid Syndrome,UNKNOWN,Phase 2,2021-07-09,2025-08,43,"University College, London",OTHER,Unknown,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT00712933,A Continuation Trial for Subjects With Lupus That Completed Protocol HGS1006-C1056 or HGS1006-C1057,COMPLETED,Phase 3,2008-05-30,2016-12-09,738,"Human Genome Sciences Inc., a GSK Company",INDUSTRY,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT05933213,Comparing Mescaline Sodium Enteric-coated Tablets vs Morte-mescaline in the Treatment of Adult Lupus Nephritis,UNKNOWN,Phase 4,2023-07-06,2025-12,205,Xiangya Hospital of Central South University,OTHER,Unknown,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",sle_organ,systemic lupus erythematosus
NCT03355482,MRI Evaluation Assessing Synovitis to Address the Unmet Need for Reliable Endpoints in SLE,TERMINATED,Phase 2,2017-04-10,2022-12-16,9,Oklahoma Medical Research Foundation,OTHER,Failure,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT06308978,A Phase 1 Study of FT819 in B-cell Mediated Autoimmune Disease,RECRUITING,Phase 1,2024-03-28,2042-09-30,244,Fate Therapeutics,INDUSTRY,Ongoing,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT06038474,Descartes-08 for Patients With Systemic Lupus Erythematosus,ACTIVE_NOT_RECRUITING,Phase 2,2024-02-12,2027-12-01,6,Cartesian Therapeutics,INDUSTRY,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT02804763,A Phase 2 Efficacy and Safety Study of Dapirolizumab Pegol (DZP) in Systemic Lupus Erythematosus,COMPLETED,Phase 2,2016-06-02,2018-11-19,182,UCB Biopharma S.P.R.L.,INDUSTRY,Success,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT05251415,Clinico-biological Collection to Investigate the Physiopathology of Systemic Autoimmune Diseases,RECRUITING,,2022-04-04,2032-04-04,3000,"University Hospital, Toulouse",OTHER,Ongoing,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
NCT04517240,A Study on Protein Losing Enteropathy In Systemic Lupus Erythematosus,UNKNOWN,,2020-10-01,2022-12-01,50,Assiut University,OTHER,Unknown,sle,D008180,"Lupus Erythematosus, Systemic",55464009,Systemic lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ/system involvement unspecified",primary_sle,systemic lupus erythematosus
